MPN,SKU,Quantity,Price [zł/unit],Price [zł],In stock,Available
LMK105ABJ225KVHF,963-LMK105ABJ225KVHF,6,0.4,2.3999999999999999,56142,True,10
MLASE105SB7104KFNA01,963-MLASE105SB7104KF,52,0.4,20.8,49022,True,100
CL05A475MR5NQNC,187-CL05A475MR5NQNC,2,0.4,0.8,13885,True,10
04025C472KAT2A,581-04025C472KAT2A,1,0.4,0.4,123534,True,10
04025A8R2CAT2A,581-04025A8R2C,2,0.4,0.8,67446,True,10
GRM21BC81C226ME44L,81-GRM21BC81C226ME4L,4,1.16,4.64,695804,True,10
08053D106KAT4A,581-08053D106KAT4A,4,1.76,7.04,55465,True,5
LG R971-KN-1,720-LGR971-KN-1,1,1.12,1.12,176145,True,1
LO R976-PS-1,720-LOR976-PS-1,1,1.08,1.08,31455,True,1
LS R976-NR-1,720-LSR976-NR-1,1,1.08,1.08,220262,True,1
BZT52B3V6-TP,833-BZT52B3V6-TP,1,0.959,0.959,7936,True,1
MMSZ4705-HE3_A-08,78-MMSZ4705-HE3_A-08,1,1.4,1.4,14700,True,1
0805L035YR,576-0805L035,1,7.57,7.57,1270,True,1
1206L200SLYR ,576-1206L200SLYR,1,6.02,6.02,6778,True,1
20021511-00014T4LF, 649-221511-00014T4LF,1,6.41,6.41,1280,True,1
DF52-8S-0.8H(21),798-DF52-8S-0.8H21,2,2.68,5.36,1475,True,5
DM3AT-SF-PEJM5,798-DM3AT-SF-PEJM5,1,11.09,11.09,37163,True,3,Do extendera
FH12-40S-0.5SH(55),798-FH12-40S-0.5SH55,1,12.0,12.0,21559,True,1,
USB4085-GF-A,640-USB4085-GF-A,1,4.3,4.3,63537,True,1,
SRN6028C-6R0M,652-SRN6028C-6R0M,2,2.04,4.08,2913,True,3,
RT0402FRE0710KL,603-RT0402FRE0710KL,26,0.4,10.4,61319,True,40,
RT0402FRE07120RL,603-RT0402FRE07120RL,1,0.4,0.4,44174,True,10,
RT0402FRE07620RL,603-RT0402FRE07620RL,3,0.4,1.2000000000000000,25612,True,10,
RT0402FRE0749R9L,603-RT0402FRE0749R9L,4,0.4,1.6,40249,True,10,
RT0402FRE0733RL,603-RT0402FRE0733RL,39,0.4,15.600000000000000,37449,True,50,
RMC1/16SJPTH,791-RMC1/16SJPTH,5,0.464,2.3199999999999998,182547,True,20,
RT0402FRE075K1L,603-RT0402FRE075K1L,4,0.4,1.6,4966,True,10,
RT0402FRE0752K3L,603-RT0402FRE0752K3L,1,0.4,0.4,13242,True,10,
RT0402FRE0730K9L,603-RT0402FRE0730K9L,1,0.4,0.4,16298,True,10,
B3U-1000PM,653-B3U-1000PM,3,2.6,7.800000000000000,10335,True,3,
STM32H750XBH6,511-STM32H750XBH6,1,51.39,51.39,1127,True,2,
MCP2562FDT-H/MF,579-MCP2562FDT-H/MF,1,5.76,5.76,4199,True,1,
DS90C124IVS/NOPB,926-DS90C124IVS/NOPB,1,47.09,47.09,221,True,1,
IS42S32400F-6BL,870-IS42S32400F-6BL,1,19.69,19.69,586,True,2,
TPS56339DDCR,595-TPS56339DDCR,2,4.0,8.0,11011,True,3,
ECS-250-8-36CKM-TR3, 520-250-8-36CKM-TR3,1,1.04,1.04,4499,True,1,
05-40-D-0076-A-4-06-4-T , 640-540-D0076A4064T ,,,,,,2,
, 798-DF52-8P-0.8C ,,,,,,10,
, 798-DF52-2832PCF ,,,,,,30,
, 798-DFCPOB ,,,,,,1,tool 
, 798-DF522832PF157128 ,,,,,,5
