Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C26, C54, C58, C71",0402,6,2.2u,LMK105ABJ225KVHF 
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C59, C6, C64, C67, C68, C7, C8, C9",0402,52,100n,MLASE105SB7104KFNA01
"C24, C25",0402,2,4.7u,CL05A475MR5NQNC
C55,0402,1,4.7n,04025C472KAT2A 
"C56, C57",0402,2,8.2p,TEMPLATE_MPN
"C60, C61, C69, C70",0805,4,22u,GRM21BC81C226ME44L
"C62, C63, C65, C66",0805,4,10u,08053D106KAT4A
D1,0805,1,GREEN,LG R971-KN-1
D2,0805,1,ORANGE,LO R976-PS-1
D3,0805,1,RED,LS R976-NR-1
D4,D_SOD-123,1,3.6V,BZT52B3V6-TP
D6,D_SOD-123,1,18V, MMSZ4705-HE3_A-08 
F1,0805,1,350mA,0805L035YR
F2,1206,1,Polyfuse-2A-1206L200SLYR,1206L200SLYR 
J1,IDC-Header_20021511-00014T4LF_2x07_P1.27_Vertical,1,STDC14,20021511-00014T4LF
J2,Hirose_DF52-8S-0.8H_1x08-1MP_P0.80mm_Horizontal,1,CAMERA, DF52-8S-0.8H(21) 
J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_Sd, DM3AT-SF-PEJM5 
J4,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,1,FH12-40S-0.5SH(55), FH12-40S-0.5SH(55) 
J5,USB_C_Receptacle_GCT_USB4085,1,USB_C_USB4085-GF-A, USB4085-GF-A 
J6,Hirose_DF52-8S-0.8H_1x08-1MP_P0.80mm_Horizontal,1,IO, DF52-8S-0.8H(21) 
"L1, L2",L_Bourns-SRN6028,2,SRN6028C-6R0M,SRN6028C-6R0M
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R23, R3, R4, R5, R6, R64, R65, R69, R7, R70, R77, R8, R81, R9",0402,26,10k,RT0402FRE0710KL
R20,0402,1,120R,RT0402FRE07120RL
"R21, R62, R63",0402,3,620R,RT0402FRE07620RL
"R22, R24, R73, R75",0402,4,49R9,RT0402FRE0749R9L
"R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R74, R78",0402,39,33R,RT0402FRE0733RL
"R66, R79, R82, R83",0402,4,0R,RMC1/16SJPTH
"R67, R68, R71, R72",0402,4,5k1,RT0402FRE075K1L
R76,0402,1,52k3,RT0402FRE0752K3L
R80,0402,1,30k9,RT0402FRE0730K9L
SW1,SW_SPST_B3U-1000P,1,RESET, B3U-1000PM 
SW2,SW_SPST_B3U-1000P,1,PICTURE, B3U-1000PM 
SW3,SW_SPST_B3U-1000P,1,MODE, B3U-1000PM 
U1,TFBGA-265_14x14mm_Layout17x17_P0.8mm,1,STM32H750XBHx, STM32H750XBH6
U2,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2562-E-MF,
U3,TQFP-48_7x7mm_P0.5mm,1,DS90C124, DS90C124IVS/NOPB
U4,BGA-90_8.0x13.0mm_Layout2x3x15_P0.8mm,1,~,IS42S32400F-6BL
"U5, U6",TSOT-23-6,2,TPS56339,C2071106
Y1,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,25MHz,520-250-8-36CKM-TR3
